,0,1
0,della,53
550,della,53
752,della,53
738,della,53
707,della,53
696,della,53
252,della,53
676,della,53
1106,della,53
259,della,53
645,della,53
282,della,53
1125,della,53
575,della,53
287,della,53
557,della,53
555,della,53
766,della,53
851,della,53
886,della,53
995,della,53
1081,della,53
1082,della,53
1037,della,53
355,della,53
1005,della,53
1003,della,53
963,della,53
906,della,53
935,della,53
931,della,53
196,della,53
928,della,53
198,della,53
199,della,53
552,della,53
769,della,53
1073,della,53
491,della,53
1163,della,53
332,della,53
535,della,53
4,della,53
391,della,53
455,della,53
327,della,53
326,della,53
469,della,53
474,della,53
425,della,53
373,della,53
384,della,53
518,della,53
112,type:,28
103,type:,28
159,type:,28
121,type:,28
18,type:,28
74,type:,28
16,type:,28
156,type:,28
167,type:,28
14,type:,28
100,type:,28
12,type:,28
82,type:,28
97,type:,28
126,type:,28
84,type:,28
66,type:,28
10,type:,28
148,type:,28
30,type:,28
131,type:,28
59,type:,28
139,type:,28
90,type:,28
24,type:,28
136,type:,28
52,type:,28
41,type:,28
168,priority:,27
99,priority:,27
127,priority:,27
132,priority:,27
102,priority:,27
104,priority:,27
158,priority:,27
113,priority:,27
142,priority:,27
122,priority:,27
137,priority:,27
160,priority:,27
83,priority:,27
67,priority:,27
17,priority:,27
25,priority:,27
91,priority:,27
53,priority:,27
60,priority:,27
75,priority:,27
31,priority:,27
15,priority:,27
13,priority:,27
85,priority:,27
42,priority:,27
11,priority:,27
19,priority:,27
584,delle,18
508,delle,18
596,delle,18
632,delle,18
488,delle,18
528,delle,18
727,delle,18
342,delle,18
144,target:,18
129,target:,18
797,delle,18
152,target:,18
221,delle,18
821,delle,18
218,delle,18
834,delle,18
163,target:,18
836,delle,18
929,delle,18
172,target:,18
302,delle,18
358,delle,18
36,target:,18
70,target:,18
21,target:,18
87,target:,18
79,target:,18
94,target:,18
116,target:,18
56,target:,18
124,target:,18
107,target:,18
63,target:,18
27,target:,18
1181,delle,18
47,target:,18
96,eventname:,16
46,events:,16
35,events:,16
174,eventname:,16
171,events:,16
93,events:,16
38,eventname:,16
81,eventname:,16
89,eventname:,16
86,events:,16
165,eventname:,16
78,events:,16
49,eventname:,16
55,events:,16
72,eventname:,16
69,events:,16
62,events:,16
65,eventname:,16
29,eventname:,16
58,eventname:,16
146,eventname:,16
20,events:,16
162,events:,16
118,eventname:,16
106,events:,16
115,events:,16
23,eventname:,16
109,eventname:,16
151,events:,16
143,events:,16
26,events:,16
154,eventname:,16
639,redazione,14
617,redazione,14
330,redazione,14
260,redazione,14
885,redazione,14
840,redazione,14
706,redazione,14
392,redazione,14
813,redazione,14
386,redazione,14
952,redazione,14
768,redazione,14
545,redazione,14
467,redazione,14
157,flavors:,12
133,flavors:,12
45,flavors:,12
54,flavors:,12
101,flavors:,12
114,flavors:,12
98,flavors:,12
105,flavors:,12
61,flavors:,12
68,flavors:,12
34,flavors:,12
92,flavors:,12
704,nella,11
415,nella,11
590,nella,11
319,anche,11
722,nella,11
410,nella,11
435,nella,11
497,anche,11
397,contro,11
50,callback:,11
451,anche,11
682,anche,11
544,contro,11
654,contro,11
776,nella,11
264,anche,11
627,contro,11
622,contro,11
556,contro,11
39,callback:,11
558,contro,11
569,contro,11
614,contro,11
463,nella,11
594,contro,11
489,nella,11
175,callback:,11
155,callback:,11
138,callback:,11
